,도로명,링크아이디,시점명,종점명,거리,차선수,평균속도,좌표
3198,양산로(영등포),1180028600,양평역,영등포구청역,502.0,1.0,16.74543333173323,"LINESTRING(190334.265962 447272.087701, 190481.972815 447243.273401, 190629.679668 447214.459101, 190826.622139 447176.040035)"
3199,양산로(영등포),1180028700,영등포구청역,양평역,502.0,1.0,16.638727854582694,"LINESTRING(190828.91976 447187.81802, 190681.212907 447216.63232, 190533.506054 447245.44662, 190336.563583 447283.865686)"
3200,양산로(영등포),1180029400,양평역,양평역,399.0,1.0,15.29134343798003,"LINESTRING(189942.78051 447347.718146, 190163.763895 447303.957113, 190334.312367 447272.078837)"
3201,양산로(영등포),1180029500,양평역,양평역,399.0,1.0,16.614140849014337,"LINESTRING(190336.517177 447283.874549, 190166.031903 447315.741012, 189945.111586 447359.489555)"
3202,양재대로,1210000500,선암IC,민마루고개,1104.0,4.0,37.61100855254736,"LINESTRING(201792.011323 440087.313019, 201827.548272 440095.9711, 201861.097473 440101.066095, 201905.335566 440100.609741, 202892.851612 440050.909804)"
3203,양재대로,1210000600,민마루고개,선암IC,1107.0,4.0,40.54441939484127,"LINESTRING(202893.151096 440063.436116, 201905.699191 440112.606629, 201860.253034 440113.075445, 201825.222605 440107.755501, 201789.170781 440098.971978)"
3204,양재대로,1210000900,트럭터미널앞,민마루고개,462.0,4.0,26.2726243999616,"LINESTRING(203291.247286 440249.29713, 203166.17908 440127.964651, 203124.605334 440098.361489, 203084.502436 440080.542288, 203040.710848 440070.323043, 203014.795186 440065.641861, 202977.536568 440063.060959, 202936.354755 440062.319397, 202893.151096 440063.436116)"
3205,양재대로,1210001000,민마루고개,트럭터미널앞,472.0,4.0,22.618180347542243,"LINESTRING(202892.851612 440050.909804, 202936.307722 440050.316604, 202978.059561 440051.068432, 203016.264016 440053.714851, 203043.437909 440058.63702, 203088.336398 440069.114572, 203130.581855 440087.885792, 203173.88124 440118.717719, 203299.602961 440240.684191)"
3206,양재대로,1210001100,양재IC서측,트럭터미널앞,79.0,5.0,24.032727910586274,"LINESTRING(203350.331888 440301.949169, 203332.662414 440286.205539, 203314.99294 440270.461908, 203291.433642 440249.470401)"
3207,양재대로,1210001200,트럭터미널앞,양재IC서측,79.0,4.0,32.26257088453661,"LINESTRING(203299.416605 440240.51092, 203317.086079 440256.25455, 203334.755553 440271.998181, 203358.314851 440292.989688)"
3208,양재대로,1210001700,양재IC동측,양재IC서측,477.0,4.0,41.637190988223246,"LINESTRING(203707.687699 440618.026006, 203600.480956 440523.202955, 203493.274212 440428.379904, 203350.331888 440301.949169)"
3209,양재대로,1210001800,양재IC서측,양재IC동측,477.0,4.0,34.442743791602666,"LINESTRING(203358.314851 440292.989688, 203465.550372 440387.838659, 203572.785892 440482.687629, 203715.766586 440609.152924)"
3210,양재대로,1210002500,염곡사거리,양재IC동측,125.0,4.0,29.388831013184845,"LINESTRING(203799.776914 440701.87267, 203772.150149 440676.718671, 203744.523385 440651.564671, 203707.687699 440618.026006)"
3211,양재대로,1210002600,양재IC동측,염곡사거리,125.0,6.0,21.628396609383,"LINESTRING(203715.766586 440609.152924, 203743.39335 440634.306923, 203771.020115 440659.460922, 203807.855801 440692.999588)"
3212,양재대로,1210002700,구룡사앞,염곡사거리,957.0,4.0,35.55539103302611,"LINESTRING(204511.21985 441342.211717, 204413.752331 441260.96297, 203799.776639 440701.87242)"
3213,양재대로,1210002800,염곡사거리,구룡사앞,957.0,4.0,39.38376241679468,"LINESTRING(203807.856075 440692.999837, 204421.637649 441251.913622, 204518.903503 441332.994262)"
3214,양재대로,1220000100,구룡터널,구룡사앞,852.0,4.0,38.52412081573221,"LINESTRING(205196.005719 441847.718551, 204891.971815 441650.227185, 204820.145083 441597.038056, 204511.243709 441342.231502)"
3215,양재대로,1220000200,구룡사앞,구룡터널,851.0,4.0,31.955505952380946,"LINESTRING(204518.879644 441332.974477, 204827.538787 441587.58122, 204898.817338 441640.364411, 205202.542538 441837.655251)"
3216,양재대로,1220000300,구룡마을입구,구룡터널,638.0,4.0,29.722784626216075,"LINESTRING(205725.10621 442204.681319, 205388.058978 441967.326593, 205196.102273 441847.779968)"
3217,양재대로,1220000400,구룡터널,구룡마을입구,639.0,4.0,28.28506238799283,"LINESTRING(205202.445984 441837.593834, 205394.690782 441957.319877, 205732.015505 442194.870017)"
