,아티스트,제목,곡의 빠르기,잡음,진폭의 변화,주파수의 밝기,파워
64,sokodomo,"BE ! (Feat. 팔로알토, lIlBOI) (Prod. PEEJAY & Slom)",95.703125,631818,5231.973842587354,2561.7962435708096,0.22038208
65,SOLE(쏠),왜 (Feat. 개코),89.10290948275862,381076,4227.613128450112,2096.919697649121,0.27931702
66,SUMIN,Fightman (Feat. sokodomo),112.34714673913044,790728,6341.476458069906,2990.033854573078,0.25189447
67,"SUMIN, Slom",신기루,129.19921875,346902,4356.362818759896,2038.1348345002573,0.19209923
68,Supreme Team & 영준,그땐 그땐 그땐,117.45383522727272,528514,4961.047473138069,2257.2530668165705,0.27817163
69,Supreme Team,땡땡땡,129.19921875,642196,5675.169486675983,2782.9438990539347,0.26270092
70,Supreme Team,말 좀 해줘 (Feat. Soulman),117.45383522727272,594940,5313.785220682777,2558.2358413468432,0.263095
71,The Quiett,"Airplane Music (Feat. Basick, Rimi, Beenzino, Fana＆San E)",129.19921875,456848,4642.223255164122,2175.027511497032,0.28945333
72,TWICE,CRUEL,123.046875,544276,6979.485225457581,3144.9258155056064,0.3285521
73,TWICE,TT,129.19921875,516218,5884.339650693725,2788.369981673384,0.2739772
74,UZA&SHANE,Kisscuse Me,103.359375,535948,5404.659228184961,2564.21482186124,0.25914463
75,W & Whale,R.P.G. Shine,99.38401442307692,534836,5227.432064052209,2537.292563952479,0.21058758
76,Wanna One(워너원),모래시계 (Prod. 헤이즈),95.703125,360024,4051.537840632295,1919.0414762481803,0.24983235
77,Wanna One(워너원),영원+1 (Prod. Nell),117.45383522727272,489404,4625.1761499074055,2115.0398659598213,0.23679361
78,YDG,"JaJaJa (Feat. Dynamic Duo, Crush)",92.28515625,410630,4265.972535669126,2062.1408513727424,0.2846104
79,YENA(최예나),Lxxk 2 U,161.4990234375,672906,7442.169690782896,3490.5461412907853,0.2771831
80,YUKIKA(유키카),Yesterday,99.38401442307692,469276,5266.369249710739,2443.263156738823,0.29702115
81,YUKIKA(유키카),서울여자,117.45383522727272,474092,5434.414233873009,2475.4087390243976,0.32764736
82,Zion.T,양화대교,86.1328125,389544,4588.957458502271,2062.1956810216466,0.16343404
83,Zion.T,잠꼬대 (Feat. 오혁),123.046875,218644,3962.072077304056,1890.6620740563492,0.23998833
84,가인,피어나,123.046875,649826,5788.88303199253,2769.6336748537974,0.3059551
85,거미,기억상실,99.38401442307692,538888,5111.89470589605,2363.467626385714,0.19510193
86,거미,미안해요 (Feat. T.O.P),123.046875,627880,6232.531411082474,2850.519235800305,0.15666221
87,기리보이,호랑이소굴 (Feat. Jvcki Wai),95.703125,391154,4673.703512972776,2189.726544096994,0.32735875
88,김동률,다시 사랑한다 말할까,143.5546875,460586,4683.53072234123,2051.594786849236,0.16862695
89,김범수,하루,135.99917763157896,546780,4624.565136946122,2139.442628148747,0.18714345
90,김연자,아모르 파티,135.99917763157896,464738,5146.251159804309,2404.114845311155,0.3123543
91,김완선,삐에로는 우릴 보고 웃지 (2019),107.666015625,445952,4817.610868566177,2257.445141701337,0.27176237
