아티스트,제목,곡의 빠르기,잡음,진폭의 변화,주파수의 밝기,파워,X,Y
HYNN(박혜원),시든 꽃에 물을 주듯,0.014284476332926876,0.27005115410634034,0.3117247501139253,0.3254885380826704,0.050283514087438856,21.07995121489175,16.518991499186782
iKON,사랑을 했다 (LOVE SCENARIO),0.47574580447627257,0.41011848869804035,0.4359656319777199,0.5215009317579024,0.443596094511146,44.28993853969195,46.71630928585521
iKON,취향저격,0.16724242015660895,0.054638732464827644,0.20030236288074588,0.2064621365106042,0.8738924702712241,20.339991027158483,24.110298821451877
ITZY(있지),B[OO]M-BOXX,0.5681621000271329,0.486295962511664,0.8505590426765092,0.8875218827597748,0.9503907759369404,66.20538794150656,71.85496989429704
ITZY(있지),달라달라 [DALLA DALLA],0.5681621000271329,0.4229336826883486,0.9241702872882767,0.917905731861244,0.6594593031176357,62.53764540363093,70.39193424213556
IU,Voice Mail (Korean Ver.),0.47574580447627257,0.1567663120519744,0.03763568780015316,0.04490029508971434,0.10532488155508568,18.040534094055488,23.301463772918854
IU,금요일에 만나요 (Feat. 장이정 of HISTORY),0.9616651879862623,0.25262373102399927,0.5266367279630196,0.3878900659343859,0.4128833749082561,47.878721968372034,63.41221445672115
IU,사랑이 잘 (With 오혁),0.6654853730091297,0.2792473444003366,0.6176730732942155,0.5616998870540102,0.6729946363350469,49.18000793597094,59.72929393468354
IU,싫은 날,0.6654853730091297,0.2669420158142549,0.15936294234904308,0.18526548246209296,0.04383648524294711,29.465666616784056,36.61976842715993
IU,있잖아 (Rock Version),0.9154939676959741,0.7103412046032576,0.8974451640855756,0.9006748712242875,0.8248962942700326,81.92814247470452,87.93453440276913
M.C The Max,One Love,0.020650929156249623,0.6473115061492799,0.3052235525540961,0.2549649541315432,0.08230100429531517,35.78260946444669,19.32593240440872
M.C The Max,사랑의 時,0.010069333227777082,0.07914396005831176,0.08487122930380403,0.07170918084589427,0.3403942405805973,9.185603867229007,7.72976353849414
Mayson The Soul,홀리데이 (Feat. Beenzino),0.47574580447627257,0.6916385424129659,0.2233828957283307,0.2728900383936448,0.45313214319195955,48.908337516466744,40.40299771753966
MC Sniper,민초의 난 (추노 OST),0.847155427871578,0.07052905026169475,0.27319930268413506,0.25006569262232187,0.6966537653523918,34.69545120132919,52.02334517713312
MC 몽,Lucky Man,0.47574580447627257,0.9002742105286706,0.8753541620469911,0.8630331282918791,0.7332744693158744,78.99604372768964,70.13306478427376
MC 몽,그래도 남자니까,0.13409901690031967,0.2700824410406871,0.45752067302171606,0.41119384101309864,0.5172657614083496,31.92028746428268,30.611732981199452
miss A,No Mercy,0.847155427871578,0.6342788594318342,0.5774037826589896,0.583390048909292,0.8707284624122298,68.40352370109994,72.15216696466939
Miya,바람에게 부탁해,0.847155427871578,0.018849850300872807,0.6849494330447052,0.5688619102197441,0.3737268162030411,40.82197849458843,62.88821064519126
MOBB,빨리 전화해 (Feat. KUSH),0.3923711178932867,0.23771487044615525,0.909079409053915,0.8385842622524319,0.9949247174640197,53.87269515395476,62.97451402096016
Nell,Good Night,0.9867214565421997,0.5453787502570976,0.30111044159617495,0.2519094149529634,0.5329906605423913,55.42078872800494,61.31294950066564
Nell,기억을 걷는 시간,0.10757579672157624,0.6234266234297818,0.29517648342179775,0.28688547326021985,0.19495787549340043,37.81054402759495,24.128115991735225
S.E.S,Be Natural,0.10757579672157624,0.9912890976838292,0.8555203535488229,0.869472943680428,0.39405184364918006,71.54873478605722,52.65630722677816
S.E.S,Just a Feeling (Remix Ver.),0.3923711178932867,0.973214777644681,0.9662735104300489,0.9726032732874059,0.2804446436058232,78.63196284118624,67.00897460258561
San E,Rap Circus,0.9616651879862623,0.39727087457884785,0.1732319091640614,0.21001987149716256,0.774032086476629,48.42929650589831,57.844672743229744
SG 워너비,Timeless,0.3199772389206965,0.8156459499633566,0.7880705078807712,0.775224805103685,0.13204191254695752,63.85946011107005,53.54187444162013
SIM2,"We call it (Feat. Hauzee, kenessi)",0.2083709341932341,0.904782204871897,0.8034089353181244,0.9496298513520249,0.2925671212944754,68.84885531156804,55.36910636279608
SIM2,"위태로워 (Feat. Rovv, BOiTELLO, Holynn)",0.3923711178932867,0.5335352780244782,0.8747302810570823,0.8742067218366353,0.472237883706447,60.14788515541733,60.73131639091507
sokodomo,"BE ! (Feat. 팔로알토, lIlBOI) (Prod. PEEJAY & Slom)",0.16724242015660895,0.8330665480536288,0.5026775210079923,0.6107557855788743,0.3246667579427916,56.07528618065384,40.535695997965895
SOLE(쏠),왜 (Feat. 개코),0.10757579672157624,0.1561085185582718,0.15418987855206373,0.21642160230714852,0.7488120245452604,21.13199051632776,20.764466917082615
SUMIN,Fightman (Feat. sokodomo),0.3923711178932867,0.9867653052549337,0.8727295152349912,0.8966924577025848,0.5584673245861628,79.32422269565038,66.53561047289395
"SUMIN, Slom",신기루,0.6654853730091297,0.10026898064357653,0.18748864824279438,0.17902511009817657,0.15991957523749117,24.459686504138222,36.551575645995285
Supreme Team & 영준,그땐 그땐 그땐,0.47574580447627257,0.5603554363336121,0.3936286953788387,0.3384096469832813,0.7417930755628936,50.603734675908456,46.692084145258356
Supreme Team,땡땡땡,0.6654853730091297,0.8527217032903058,0.6769419743679235,0.7847161963582003,0.6381239216677158,75.18581625941246,70.76103458446788
