제품코드,약식품번(제품번호와같이키값으로사용),제품명,규격,"품목자산분류(102201:완제품,102202:반제품,102203:원재료,102204:상품)"
PEMA013106100,805632,PEMA-HR1000우림(하남),,102201
PEMA013106300,805670,PEMA-HR1000강원(강릉),PEMA11154Q,102201
PEMA013107000,805722,PEMA-HR1500에스비(진해),,102201
PEMA013107101,808309,PEMA-580FX상동(평택)-1팀,,102201
PEMA013107700,805771,CSA5000금강(김포),,102201
PEMA013108400,805857,PEMA-HR1000우신(파주),,102201
PEMA013109400,805892,CSA4000보광(대구),,102201
PEMA013109500,805899,PEMA-HR1000케이엠(포항),,102201
PEMA013109600,805901,CSA4000홈센타(대구),,102201
PEMA013110300,805936,PEMA-SP1000신성콘크리트(경주),,102201
PEMA013111000,805986,PEMA-HR1000씨제이(청주),,102201
PEMA013111300,806021,CSA5000대원(청주),,102201
PEMA013111900,806132,PEMA-HR1500성보(김해),,102201
PEMA013112900,806283,PEMA-HR1000영동(동해),,102201
PEMA013113800,806419,PEMA-580FX영남씨앤씨(경주),,102201
PEMA013114200,806487,PEMA-HR1000뉴그린(여수),,102201
PEMA013114400,806519,PEMA-HR1000한빛(부안),,102201
PEMA013114800,806586,PEMA-HR1000찬우(밀양),,102201
PEMA013114900,806599,PEMA-SR2000대경(군위),,102201
PEMA013115800,806647,PEMA-HR1000일진기업(양평),,102201
PEMA013116100,806726,PEMA-HR1000추부(금산),,102201
PEMA013116420,808422,PEMA-SR2000해양개발(울산),,102201
PEMA013116700,806750,PEMA-HR1000현진(동해),,102201
PEMA013117000,806773,PEMA-HR1000알파(공주),,102201
PEMA013117700,806884,PEMA-HR1000현림수로용,,102201
PEMA013117800,806907,PEMA-HR1000에스피(동서울),,102201
PEMA013117801,807575,PEMA-HR1000에스피(광주),,102201
PEMA013117810,807411,PEMA-HR1000에스피(군산),,102201
PEMA013118500,807027,PEMA-HR1000성창(삼척),,102201
PEMA013118900,807077,PEMA-580FX유니캠(화성),,102201
PEMA013119000,807117,PEMA-HR1000하나(군산),,102201
PEMA013119500,807176,PEMA-HR1000일진(횡성),,102201
PEMA013119700,807219,CSA5000세일(성주),,102201
PEMA013119900,807292,PEMA-HR1000성심(양양),,102201
PEMA013120000,807296,CSA5000상신(성주),,102201
PEMA013120100,807303,PEMA-HR1500성우(영동),,102201
PEMA013120800,807473,PEMA-HR1000화남(영덕),,102201
PEMA013120900,807475,PEMA-HR1000녹색(영덕),,102201
PEMA013121600,807550,PEMA-HR1000원신(파주),,102201
PEMA013121910,808337,PEMA-HR1000하주(동해),,102201
PEMA013122400,807697,PEMA-HR1000성진(부산),,102201
PEMA013122500,807740,PEMA-HR1000영동(고성),,102201
PEMA013122800,807768,CSA5000와룡(안동),,102201
PEMA013123000,807806,PEMA-SR2000신공항(인천),,102201
PEMA013123501,808755,PEMA-PCR3000E서문(안산)저가용,,102201
PEMA013124800,808018,PEMA-HR1000한화(포항),,102201
PEMA013125010,808875,PEMA-HR1000디엘이앤씨(포항),,102201
PEMA013125500,808031,PEMA-HR1000명진(논산),,102201
PEMA013125600,808037,CSA5000케이씨(여주),,102201
PEMA013125900,808076,PEMA-SP1000홍지(이천),,102201
PEMA013126100,808108,CSA5000서호(태안),,102201
PEMA013126200,808112,PEMA-580FX케이알(음성),,102201
PEMA013126600,808226,PEMA-HR1000현대콘(목포),,102201
PEMA013126700,808280,PEMA-HR1500합천(합천),,102201
PEMA013127100,808386,PEMA-HR1500서벽(경주),,102201
PEMA013127700,808372,PEMA-HR1000남도(광주),,102201
PEMA013128300,808438,PEMA-HR1000경연(원주),,102201
PEMA013128400,808540,PEMA-HR1500케이세웅(충주),,102201
PEMA013128700,808458,CSA5000 은성(천안),,102201
PEMA013129300,808637,PEMA-HR1500항도렉스콘(양산),,102201
PEMA013129600,808588,CSA4000대양(청주),,102201
PEMA013129800,808622,PEMA-PR1000삼일(용인),,102201
PEMA013129802,808627,PEMA-PR1000삼일(칠서),,102201
PEMA013129803,808761,PEMA-PR2000삼일(부여),,102201
PEMA013130300,808699,CSA5000선우(서산),,102201
PEMA013130400,808710,PEMA-PR2000영풍(음성),,102201
PEMA013130800,808763,PEMA-HR1000양양(양양),,102201
PEMA013131000,808781,PEMA-PR2000휴먼이엔티(천안),,102201
PEMA013131100,808788,PEMA-HR1000황원(고성),,102201
PEMA013131200,808789,CSA5000삼기(인천),,102201
PEMA013132000,808912,PEMA-HR1000 동성(포항),,102201
PEMA013132400,808898,PEMA-HR1000 삼화알엠씨(양주),,102201
PEMA013132700,808972,PEMA-SR2000 나라(서산),,102201
PEMA013132701,809029,PEMA-HR1500 나라(서산),,102201
PEMA013133000,808958,PEMA-PCR3000N 여흥(서울),,102201
PEMA013133200,808976,PEMA-SR2000 경도(경주),,102201
PEMA013133400,808990,CSA5000 창원(하동),,102201
PEMA013901100,804552,PEMA-HR1500산하(청주),,102201
PEMA013901300,804756,PEMA-HR1000강남(여주),,102201
PEMA013901301,804857,PEMA-SR5000F강남건영(여주2),,102201
PEMA013901520,805211,PEMA-PR1000동양파일(아산),,102201
PEMA013901600,805209,PEMA-PR1000동양파일(함안),,102201
PEMA023000210,806685,PEMA-HR1500가야(인천),,102201
PEMA023001000,765231,CSA5000강원(인천),,102201
PEMA023001400,774815,PEMA-HR1500거산(임실),PEMA22664,102201
PEMA023001800,808459,CSA5000건설(의정부),,102201
PEMA023002000,804766,CSA5000건설(수원),,102201
PEMA023002600,804199,PEMA-SR3000F경동(부산),,102201
PEMA023005600,806061,PEMA-HR1000광주알엠씨(장성),,102201
PEMA023006200,808621,CSA5000국광(천안),,102201
PEMA023006300,806889,PEMA-HR1000국민(용인),,102201
PEMA023006800,780983,PEMA-HR1500극동(사천),PEMA11462,102201
PEMA023007400,806231,CSA5000금남(여수),,102201
PEMA023008000,805663,PEMA-HR1000금오(구미),PEMA10097,102201
PEMA023011300,804538,PEMA-HR1000뉴신화(여수),,102201
PEMA023013000,783105,PEMA-SR3000F대동(대구),PEMA20043,102201
PEMA023014200,807471,PEMA-SR2000대성(울산),,102201
PEMA023019800,805067,PEMA-PR1000도봉(여주),,102201
PEMA023022400,781089,PEMA-HR1500동아(함안),PEMA21119,102201
PEMA023024000,808766,CSA5000동원(옥천),,102201
PEMA023024101,806019,CSA5000동원(청주),,102201
PEMA023024801,765783,PEMA-HR1000동진(수원),,102201
PEMA023024802,804139,PEMA-HR1000동진(음성),,102201
PEMA023024804,806676,PEMA-PR2000동진파일(서산),,102201
PEMA023026300,775025,PEMA-HR1500만수(정읍),PEMA30071,102201
PEMA023026700,765812,PEMA-HR1000모헨즈(당진),,102201
PEMA023027100,807577,PEMA-SR3000F미래(나주),,102201
PEMA023030002,805974,PEMA-SR2000부강(대전),,102201
PEMA023030801,783367,PEMA-SR3000F부일(회동동),PEMA12654,102201
PEMA023031200,780414,PEMA-HR1000산양(진해),PEMA10080,102201
PEMA023031400,807530,PEMA-SR2000산하(덕소),,102201
PEMA023031800,806500,PEMA-HR1500삼덕(평택),,102201
PEMA023032100,805422,PEMA-HR1500삼보(함안),PEMA11449,102201
PEMA023033303,804500,PEMA-PR1000삼성(문경),,102201
PEMA023033600,774381,PEMA-HR1000삼성(정읍),PEMA31286,102201
PEMA023034201,808700,PEMA-HR1000삼양(남양주),,102201
PEMA023035303,768491,PEMA-SR3000F삼표(성수),,102201
PEMA023035307,808517,PEMA-HR1500삼표(풍납),,102201
PEMA023035314,808124,CSA5000삼표(남부),,102201
PEMA023035315,808272,CSA5000삼표(오산),,102201
PEMA023037900,808176,CSA5000서우(서산),,102201
PEMA023038000,808150,CSA5000서원(태안),,102201
PEMA023039000,808661,CSA5000석문(당진),,102201
PEMA023039502,804340,PEMA-HR1000선일(안양),,102201
PEMA023040605,804056,CSA5000성신(용인),,102201
PEMA023041301,806583,PEMA-SR2000성원(단양),,102201
PEMA023041503,766196,PEMA-HR1000성진(천안),,102201
PEMA023041507,809025,PEMA-SR3000F 슬럼프용 성진도시(화성),,102201
PEMA023043210,806306,CSA4000세진(화성),,102201
PEMA023045801,806163,PEMA-PR2000신아(영동),,102201
PEMA023046501,804208,PEMA-HR1000신일(아산),,102201
PEMA023048506,766321,PEMA-HR1000쌍용(용인),,102201
