SOLDDATE,TEMP,HUM,REGION_U
2018-08-12,30.6,61.3,서울
2018-08-13,30.5,68.6,서울
2018-08-14,31.7,58.3,서울
2018-08-15,31.7,59.5,서울
2018-08-16,29.9,51.0,서울
2018-08-17,27.2,39.8,서울
2018-08-18,26.7,44.6,서울
2018-08-19,28.2,50.6,서울
2018-08-20,29.1,55.6,서울
2018-08-21,26.6,71.4,서울
2018-08-22,30.7,54.1,서울
2018-08-23,29.4,59.1,서울
2018-08-24,24.4,86.3,서울
2018-08-25,25.2,68.0,서울
2018-08-26,23.2,70.0,서울
2018-08-27,22.7,91.0,서울
2018-08-28,23.7,92.4,서울
2018-08-29,25.2,86.0,서울
2018-08-30,25.3,80.9,서울
2018-08-31,25.6,67.4,서울
2018-09-01,25.5,59.4,서울
2018-09-02,25.1,55.8,서울
2018-09-03,23.3,85.3,서울
2018-09-04,23.2,69.4,서울
2018-09-05,24.0,63.5,서울
2018-09-06,24.1,69.9,서울
2018-09-07,22.0,54.6,서울
2018-09-08,21.7,48.8,서울
2018-09-09,22.2,49.0,서울
2018-09-10,22.9,49.5,서울
2018-09-11,21.6,48.1,서울
2018-09-12,22.8,52.0,서울
2018-09-13,23.5,63.5,서울
2018-09-14,23.5,66.9,서울
2018-09-15,23.3,76.0,서울
2018-09-16,22.2,83.6,서울
2018-09-17,22.3,64.3,서울
2018-09-18,22.0,59.8,서울
2018-09-19,22.1,59.1,서울
2018-09-20,19.0,82.4,서울
2018-09-21,19.4,85.8,서울
2018-09-22,20.8,62.3,서울
2018-09-23,19.4,52.9,서울
2018-09-24,17.6,48.3,서울
2018-09-25,17.8,48.0,서울
2018-09-26,19.4,47.9,서울
2018-09-27,18.9,47.6,서울
2018-09-28,17.5,58.1,서울
2018-09-29,20.2,55.5,서울
2018-09-30,17.6,52.5,서울
2018-10-01,15.4,55.1,서울
2018-10-02,15.9,61.4,서울
2018-10-03,17.3,58.0,서울
2018-10-04,19.3,56.5,서울
2018-10-05,16.9,84.1,서울
2018-10-06,18.0,84.0,서울
2018-10-07,16.4,53.5,서울
2018-10-08,14.8,47.0,서울
2018-10-09,15.3,52.5,서울
2018-10-10,12.0,61.0,서울
2018-10-11,9.7,51.0,서울
2018-10-12,10.9,54.0,서울
2018-10-13,12.5,54.0,서울
2018-10-14,13.2,60.0,서울
2018-10-15,15.2,69.9,서울
